ep_date,dt,role,name
Thursday July 26,2018-07-25T14:00:00Z,host,Julia Baird
Wednesday July 25,2018-07-24T14:00:00Z,host,Julia Baird
Tuesday July 24,2018-07-23T14:00:00Z,host,Peter van Onselen
Monday July 23,2018-07-22T14:00:00Z,host,Peter van Onselen
Friday July 20,2018-07-19T14:00:00Z,host,Julia Baird
Thursday July 19,2018-07-18T14:00:00Z,host,Peter van Onselen
Wednesday July 18,2018-07-17T14:00:00Z,host,Julia Baird
Tuesday July 17,2018-07-16T14:00:00Z,host,Peter van Onselen
Monday July 16,2018-07-15T14:00:00Z,host,Peter van Onselen
Friday July 13,2018-07-12T14:00:00Z,host,Peter van Onselen
Thursday July 12,2018-07-11T14:00:00Z,host,Peter van Onselen
Wednesday July,NA,host,Peter van Onselen
"Tuesday, July 10",2018-07-09T14:00:00Z,host,Peter van Onselen
"Monday, July 9",2018-07-08T14:00:00Z,host,Peter van Onselen
Friday July 6,2018-07-05T14:00:00Z,host,Julia Baird
"Thursday, July 5",2018-07-04T14:00:00Z,host,Julia Baird
Wednesday July 4,2018-07-03T14:00:00Z,host,Julia Baird
Tuesday July 3,2018-07-02T14:00:00Z,host,Julia Baird
Monday July 2,2018-07-01T14:00:00Z,host,Julia Baird
Friday June 29,2018-06-28T14:00:00Z,host,Julia Baird
Thursday June 28,2018-06-27T14:00:00Z,host,Julia Baird
Wednesday June 27,2018-06-26T14:00:00Z,host,Julia Baird
Monday June 25,2018-06-24T14:00:00Z,host,Ellen Fanning
Tuesday June 26,2018-06-25T14:00:00Z,host,John Barron
Friday June 22,2018-06-21T14:00:00Z,host,Ellen Fanning
Thursday June 21,2018-06-20T14:00:00Z,host,Ellen Fanning
Friday June 15,2018-06-14T14:00:00Z,host,Julia Baird
Thursday June 14,2018-06-13T14:00:00Z,host,Julia Baird
Wednesday June 20,2018-06-19T14:00:00Z,host,Ellen Fanning
Tuesday June 19,2018-06-18T14:00:00Z,host,Ellen Fanning
Monday June 18,2018-06-17T14:00:00Z,host,Ellen Fanning
Wednesday June 13,2018-06-12T14:00:00Z,host,Julia Baird
Tuesday June 12,2018-06-11T14:00:00Z,host,Ellen Fanning
Monday June 11,2018-06-10T14:00:00Z,host,Ellen Fanning
Friday June 8,2018-06-07T14:00:00Z,host,Julia Baird
Thursday June 7,2018-06-06T14:00:00Z,host,Julia Baird
Wednesday June 6,2018-06-05T14:00:00Z,host,Ellen Fanning
Tuesday June 5,2018-06-04T14:00:00Z,host,Ellen Fanning
Monday June 4,2018-06-03T14:00:00Z,host,Ellen Fanning
Friday June 1,2018-05-31T14:00:00Z,host,Julia Baird
Thursday May 31,2018-05-30T14:00:00Z,host,Julia Baird
Wednesday May 30,2018-05-29T14:00:00Z,host,Ellen Fanning
Tuesday May 29,2018-05-28T14:00:00Z,host,Ellen Fanning
Monday May 28,2018-05-27T14:00:00Z,host,Ellen Fanning
Friday May 25,2018-05-24T14:00:00Z,host,Julia Baird
Thursday May 24,2018-05-23T14:00:00Z,host,Julia Baird
Wednesday May 23,2018-05-22T14:00:00Z,host,Julia Baird
Tuesday May 22,2018-05-21T14:00:00Z,host,Ellen Fanning
Monday May 21,2018-05-20T14:00:00Z,host,Ellen Fanning
Friday May 18,2018-05-17T14:00:00Z,host,Julia Baird
Thursday May 17,2018-05-16T14:00:00Z,host,Julia Baird
Wednesday May 16,2018-05-15T14:00:00Z,host,Julia Baird
Tuesday May 15,2018-05-14T14:00:00Z,host,Ellen Fanning
Monday May 14,2018-05-13T14:00:00Z,host,Ellen Fanning
Friday May 11,2018-05-10T14:00:00Z,host,Julia Baird
Thursday May 10,2018-05-09T14:00:00Z,host,Julia Baird
Wednesday May 9,2018-05-08T14:00:00Z,host,Julia Baird
Tuesday May 8,2018-05-07T14:00:00Z,host,John Barron
Monday May 7,2018-05-06T14:00:00Z,host,John Barron
Friday May 4,2018-05-03T14:00:00Z,host,NA
Thursday May 3,2018-05-02T14:00:00Z,host,Julia Baird
Wednesday May 2,2018-05-01T14:00:00Z,host,Julia Baird
Tuesday May 1,2018-04-30T14:00:00Z,host,Ellen Fanning
Monday April 30,2018-04-29T14:00:00Z,host,Ellen Fanning
Friday April 27,2018-04-26T14:00:00Z,host,Ellen Fanning
Thursday April 26,2018-04-25T14:00:00Z,host,Ellen Fanning
Wednesday April 25,2018-04-24T14:00:00Z,host,Ellen Fanning
Tuesday April 24,2018-04-23T14:00:00Z,host,Ellen Fanning
Monday April 23,2018-04-22T14:00:00Z,host,Ellen Fanning
Friday April 20,2018-04-19T14:00:00Z,host,Julia Baird
Thursday April 19,2018-04-18T14:00:00Z,host,Julia Baird
Wednesday April 18,2018-04-17T14:00:00Z,host,Julia Baird
Tuesday April 17,2018-04-16T14:00:00Z,host,NA
Monday April 16,2018-04-15T14:00:00Z,host,Julia Baird
Friday April 13,2018-04-12T14:00:00Z,host,Julia Baird
Thursday 12 April,NA,host,NA
Wednesday April 11,2018-04-10T14:00:00Z,host,Ellen Fanning
Tuesday April 10,2018-04-09T14:00:00Z,host,Peter van Onselen
Monday April 9,2018-04-08T14:00:00Z,host,Peter Van Onselen
Friday April 6,2018-04-05T14:00:00Z,host,Julia Baird
Thursday April 5,2018-04-04T14:00:00Z,host,Julia Baird
Wednesday April 4,2018-04-03T14:00:00Z,host,Julia Baird
Tuesday April 3,2018-04-02T14:00:00Z,host,Ellen Fanning
Monday April 2,2018-04-01T14:00:00Z,host,Ellen Fanning
Thursday March 29,2018-03-28T13:00:00Z,host,Julia Baird
Wednesday March 28,2018-03-27T13:00:00Z,host,Ellen Fanning
Tuesday March 27,2018-03-26T13:00:00Z,host,Ellen Fanning
Monday March 26,2018-03-25T13:00:00Z,host,Ellen Fanning
Friday March 23,2018-03-22T13:00:00Z,host,Julia Baird
Thursday March 22,2018-03-21T13:00:00Z,host,Ellen Fanning
Wednesday March 21,2018-03-20T13:00:00Z,host,Julia Baird
Tuesday March 20,2018-03-19T13:00:00Z,host,Ellen Fanning
Monday March 19,2018-03-18T13:00:00Z,host,Ellen Fanning
Friday March 16,2018-03-15T13:00:00Z,host,Kathryn Robinson
Thursday March 15,2018-03-14T13:00:00Z,host,Julia Baird
Wednesday March 14,2018-03-13T13:00:00Z,host,Julia Baird
Tuesday March 13,2018-03-12T13:00:00Z,host,Ellen Fanning
Monday March 12,2018-03-11T13:00:00Z,host,NA
Friday March 9,2018-03-08T13:00:00Z,host,Julia Baird
Thursday March 8,2018-03-07T13:00:00Z,host,Julia Baird
Wednesday March 7,2018-03-06T13:00:00Z,host,John Barron
Tuesday March 6,2018-03-05T13:00:00Z,host,Ellen Fanning
Monday March 5,2018-03-04T13:00:00Z,host,Ellen Fanning
Friday March 2,2018-03-01T13:00:00Z,host,Julia Baird
Thursday March 1,2018-02-28T13:00:00Z,host,Julia Baird
Wednesday February 28,2018-02-27T13:00:00Z,host,Ellen Fanning
Tuesday February 27,2018-02-26T13:00:00Z,host,Ellen Fanning
Monday February 26,2018-02-25T13:00:00Z,host,Ellen Fanning
Friday February 23,2018-02-22T13:00:00Z,host,Julia Baird
Thursday February 22,2018-02-21T13:00:00Z,host,Julia Baird
Wednesday February 21,2018-02-20T13:00:00Z,host,Julia Baird
Tuesday February 20,2018-02-19T13:00:00Z,host,Julia Baird
Monday February 19,2018-02-18T13:00:00Z,host,John Barron
Friday February 16,2018-02-15T13:00:00Z,host,Julia Baird
Thursday February 15,2018-02-14T13:00:00Z,host,Julia Baird
Wednesday February 14,2018-02-13T13:00:00Z,host,Ellen Fanning
Tuesday February 13,2018-02-12T13:00:00Z,host,Ellen Fanning
Monday February 12,2018-02-11T13:00:00Z,host,Ellen Fanning
Friday February 9,2018-02-08T13:00:00Z,host,Julia Baird
Thursday February 8,2018-02-07T13:00:00Z,host,Julia Baird
Wednesday February 7,2018-02-06T13:00:00Z,host,Julia Baird
Tuesday February 6,2018-02-05T13:00:00Z,host,Ellen Fanning
Monday February 5,2018-02-04T13:00:00Z,host,Ellen Fanning
Friday February 2,2018-02-01T13:00:00Z,host,Julia Baird
Thursday February 1,2018-01-31T13:00:00Z,host,Julia Baird
Wednesday January 31,2018-01-30T13:00:00Z,host,Ellen Fanning
Tuesday January 30,2018-01-29T13:00:00Z,host,Ellen Fanning
Monday January 29,2018-01-28T13:00:00Z,host,Ellen Fanning
Friday January 26,2018-01-25T13:00:00Z,host,Adam Spencer
Thursday January 25,2018-01-24T13:00:00Z,host,Adam Spencer
Wednesday January 24,2018-01-23T13:00:00Z,host,Adam Spencer
Tuesday January 23,2018-01-22T13:00:00Z,host,Adam Spencer
Monday January 22,2018-01-21T13:00:00Z,host,Adam Spencer
Friday January 19,2018-01-18T13:00:00Z,host,John Barron
Thursday January 18,2018-01-17T13:00:00Z,host,John Barron
Wednesday January 17,2018-01-16T13:00:00Z,host,John Barron
Tuesday January 16,2018-01-15T13:00:00Z,host,John Barron
Monday January 15,2018-01-14T13:00:00Z,host,Adam Spencer
Friday January 12,2018-01-11T13:00:00Z,host,Adam Spencer
Thursday January 11,2018-01-10T13:00:00Z,host,Adam Spencer
Wednesday January 10,2018-01-09T13:00:00Z,host,Adam Spencer
Tuesday January 9,2018-01-08T13:00:00Z,host,Adam Spencer
Monday January 8,2018-01-07T13:00:00Z,host,Adam Spencer
Friday January 5,2018-01-04T13:00:00Z,host,Adam Spencer
Thursday January 4,2018-01-03T13:00:00Z,host,Adam Spencer
Wednesday January 3,2018-01-02T13:00:00Z,host,Adam Spencer
Tuesday January 2,2018-01-01T13:00:00Z,host,Adam Spencer
Monday January 1,2017-12-31T13:00:00Z,host,Adam Spencer
Friday December 22,2018-12-21T13:00:00Z,host,Julia Baird
Thursday December 21,2018-12-20T13:00:00Z,host,Julia Baird
Wednesday December 20,2018-12-19T13:00:00Z,host,Julia Baird
Tuesday December 19,2018-12-18T13:00:00Z,host,Eleanor Hall
Monday December 18,2018-12-17T13:00:00Z,host,Eleanor Hall
Friday December 15,2018-12-14T13:00:00Z,host,Julia Baird
Thursday December 14,2018-12-13T13:00:00Z,host,Julia Baird
Wednesday December 13,2018-12-12T13:00:00Z,host,Julia Baird
Tuesday December 12,2018-12-11T13:00:00Z,host,Eleanor Hall
Monday December 11,2018-12-10T13:00:00Z,host,Eleanor Hall
Friday December 8,2018-12-07T13:00:00Z,host,Julia Baird
Thursday December 7,2018-12-06T13:00:00Z,host,Julia Baird
Wednesday December 10,2018-12-09T13:00:00Z,host,Julia Baird
Tuesday December 5,2018-12-04T13:00:00Z,host,Ellen Fanning
Monday December 4,2018-12-03T13:00:00Z,host,Ellen Fanning
Friday December 1,2018-11-30T13:00:00Z,host,Julia Baird
Thursday November 30,2018-11-29T13:00:00Z,host,Julia Baird
Wednesday November 29,2018-11-28T13:00:00Z,host,John Barron
Tuesday November 28,2018-11-27T13:00:00Z,host,Ellen Fanning
Monday November 27,2018-11-26T13:00:00Z,host,Ellen Fanning
Friday November 24,2018-11-23T13:00:00Z,host,Ellen Fanning
Thursday November 23,2018-11-22T13:00:00Z,host,Ellen Fanning
Wednesday November 22,2018-11-21T13:00:00Z,host,Julia Baird
Tuesday November 21,2018-11-20T13:00:00Z,host,John Barron
Monday November 20,2018-11-19T13:00:00Z,host,Julia Baird
Friday November 17,2018-11-16T13:00:00Z,host,Julia Baird
Thursday November 16,2018-11-15T13:00:00Z,host,Julia Baird
Wednesday November 15,2018-11-14T13:00:00Z,host,John Barron
Tuesday November 14,2018-11-13T13:00:00Z,host,John Barron
Monday November 13,2018-11-12T13:00:00Z,host,Ellen Fanning
Friday November 10,2018-11-09T13:00:00Z,host,Julia Baird
Thursday November 9,2018-11-08T13:00:00Z,host,Julia Baird
Wednesday November 8,2018-11-07T13:00:00Z,host,Julia Baird
Tuesday November 7,2018-11-06T13:00:00Z,host,Ellen Fanning
Monday November 6,2018-11-05T13:00:00Z,host,Ellen Fanning
Friday November 3,2018-11-02T13:00:00Z,host,Julia Baird
Thursday November 2,2018-11-01T13:00:00Z,host,Julia Baird
Wednesday November 1,2018-10-31T13:00:00Z,host,Ellen Fanning
Tuesday October 31,2018-10-30T13:00:00Z,host,Ellen Fanning
Monday October 30,2018-10-29T13:00:00Z,host,Ellen Fanning
Friday October 27,2018-10-26T13:00:00Z,host,NA
Thursday October 26,2018-10-25T13:00:00Z,host,NA
Wednesday October 25,2018-10-24T13:00:00Z,host,NA
Tuesday October 24,2018-10-23T13:00:00Z,host,NA
Monday October 23,2018-10-22T13:00:00Z,host,NA
Friday October 20,2018-10-19T13:00:00Z,host,Julia Baird
Thursday October 19,2018-10-18T13:00:00Z,host,Julia Baird
Wednesday October 18,2018-10-17T13:00:00Z,host,Julia Baird
Tuesday October 17,2018-10-16T13:00:00Z,host,NA
Monday October 16,2018-10-15T13:00:00Z,host,NA
Friday October 13,2018-10-12T13:00:00Z,host,NA
Thursday October 12,2018-10-11T13:00:00Z,host,NA
Wednesday October 11,2018-10-10T13:00:00Z,host,NA
Tuesday October 10,2018-10-09T13:00:00Z,host,NA
Monday October 9,2018-10-08T13:00:00Z,host,NA
Friday October 6,2018-10-05T14:00:00Z,host,NA
Thursday October 5,2018-10-04T14:00:00Z,host,NA
Wednesday October 4,2018-10-03T14:00:00Z,host,NA
Tuesday October 3,2018-10-02T14:00:00Z,host,Hamish Macdonald
Monday October 2,2018-10-01T14:00:00Z,host,NA
Friday September 29,2018-09-28T14:00:00Z,host,Kathryn Robinson
Thursday September 28,2018-09-27T14:00:00Z,host,Kathryn Robinson
Wednesday September 27,2018-09-26T14:00:00Z,host,Kathryn Robinson
Tuesday September 26,2018-09-25T14:00:00Z,host,Ellen Fanning
Monday September 25,2018-09-24T14:00:00Z,host,Ellen Fanning
Friday September 22,2018-09-21T14:00:00Z,host,Ellen Fanning
Thursday September 21,2018-09-20T14:00:00Z,host,Ellen Fanning
Wednesday September 20,2018-09-19T14:00:00Z,host,Ellen Fanning
Tuesday September 19,2018-09-18T14:00:00Z,host,Ellen Fanning
Monday September 18,2018-09-17T14:00:00Z,host,Ellen Fanning
Friday September 15,2018-09-14T14:00:00Z,host,Ellen Fanning
Thursday September 14,2018-09-13T14:00:00Z,host,Ellen Fanning
Wednesday September 13,2018-09-12T14:00:00Z,host,Ellen Fanning
Tuesday September 12,2018-09-11T14:00:00Z,host,Julia Baird
Monday September 11,2018-09-10T14:00:00Z,host,Ellen Fanning
Friday September 8,2018-09-07T14:00:00Z,host,Julia Baird
Thursday September 7,2018-09-06T14:00:00Z,host,Julia Baird
Wednesday September 6,2018-09-05T14:00:00Z,host,Julia Baird
Tuesday September 5,2018-09-04T14:00:00Z,host,Ellen Fanning
Monday September 4,2018-09-03T14:00:00Z,host,Ellen Fanning
Friday September 1,2018-08-31T14:00:00Z,host,John Barron
Thursday August 31,2018-08-30T14:00:00Z,host,Julia Baird
Wednesday August 30,2018-08-29T14:00:00Z,host,Julia Baird
Tuesday August 29,2018-08-28T14:00:00Z,host,Ellen Fanning
Monday August 28,2018-08-27T14:00:00Z,host,Ellen Fanning
Friday August 25,2018-08-24T14:00:00Z,host,Julia Baird
Thursday August 24,2018-08-23T14:00:00Z,host,Julia Baird
Wednesday August 23,2018-08-22T14:00:00Z,host,Julia Baird
Tuesday August 22,2018-08-21T14:00:00Z,host,Ellen Fanning
Monday August 21,2018-08-20T14:00:00Z,host,Ellen Fanning
Friday August 18,2018-08-17T14:00:00Z,host,Julia Baird
Thursday August 17,2018-08-16T14:00:00Z,host,Julia Baird
Wednesday August 16,2018-08-15T14:00:00Z,host,Julia Baird
Tuesday August 15,2018-08-14T14:00:00Z,host,Ellen Fanning
Monday August 14,2018-08-13T14:00:00Z,host,Ellen Fanning
Friday August 11,2018-08-10T14:00:00Z,host,Julia Baird
Thursday August 10,2018-08-09T14:00:00Z,host,Julia Baird
Wednesday August 9,2018-08-08T14:00:00Z,host,Julia Baird
Tuesday August 8,2018-08-07T14:00:00Z,host,Ellen Fanning
Monday 7 August,NA,host,Ellen Fanning
Friday August 4,2018-08-03T14:00:00Z,host,Ellen Fanning
Thursday August 3,2018-08-02T14:00:00Z,host,NA
Thursday July 26,2018-07-25T14:00:00Z,panel,Geraldine Doogue
Thursday July 26,2018-07-25T14:00:00Z,panel,Mark Kenny
Thursday July 26,2018-07-25T14:00:00Z,panel,Saman Shad
Thursday July 26,2018-07-25T14:00:00Z,panel,Andrew Jaspan
Wednesday July 25,2018-07-24T14:00:00Z,panel,Alice Workman
Wednesday July 25,2018-07-24T14:00:00Z,panel,Aaron Patrick
Wednesday July 25,2018-07-24T14:00:00Z,panel,John Slater
Wednesday July 25,2018-07-24T14:00:00Z,panel,Jane Gilmore
Tuesday July 24,2018-07-23T14:00:00Z,panel,Adam Carrel
Tuesday July 24,2018-07-23T14:00:00Z,panel,Jane Stanton
Tuesday July 24,2018-07-23T14:00:00Z,panel,Parnell McGuinness
Tuesday July 24,2018-07-23T14:00:00Z,panel,Peter Lewis
Monday July 23,2018-07-22T14:00:00Z,panel,Elaine Pearson
Monday July 23,2018-07-22T14:00:00Z,panel,Peter Hartcher
Monday July 23,2018-07-22T14:00:00Z,panel,Warren Mundine
Monday July 23,2018-07-22T14:00:00Z,panel,Primrose Riordan
Friday July 20,2018-07-19T14:00:00Z,panel,Sunil Badami
Friday July 20,2018-07-19T14:00:00Z,panel,Robyn Parker
Friday July 20,2018-07-19T14:00:00Z,panel,Santilla Chingaipe
Friday July 20,2018-07-19T14:00:00Z,panel,Shane Wright
Thursday July 19,2018-07-18T14:00:00Z,panel,Bhakthi Puvanenthiran
Thursday July 19,2018-07-18T14:00:00Z,panel,David Marr
Thursday July 19,2018-07-18T14:00:00Z,panel,Katherine O’Regan
Thursday July 19,2018-07-18T14:00:00Z,panel,Gray Connolly
Wednesday July 18,2018-07-17T14:00:00Z,panel,Nicki Hutley
Wednesday July 18,2018-07-17T14:00:00Z,panel,Lucy Brogden
Wednesday July 18,2018-07-17T14:00:00Z,panel,Ian Hickie
Wednesday July 18,2018-07-17T14:00:00Z,panel,Malcolm Farr
Tuesday July 17,2018-07-16T14:00:00Z,panel,Katie Acheson
Tuesday July 17,2018-07-16T14:00:00Z,panel,Chas Licciardello
Tuesday July 17,2018-07-16T14:00:00Z,panel,James Campbell
Tuesday July 17,2018-07-16T14:00:00Z,panel,Dr Suelette Dreyfus
Monday July 16,2018-07-15T14:00:00Z,panel,James Morrow
Monday July 16,2018-07-15T14:00:00Z,panel,Silma Ihram
Monday July 16,2018-07-15T14:00:00Z,panel,Van Badham
Monday July 16,2018-07-15T14:00:00Z,panel,Kate Carnell
Friday July 13,2018-07-12T14:00:00Z,panel,Lisa Annese
Friday July 13,2018-07-12T14:00:00Z,panel,Dr Norman Swan
Friday July 13,2018-07-12T14:00:00Z,panel,Catherine McGregor
Friday July 13,2018-07-12T14:00:00Z,panel,Jack Latimore
Thursday July 12,2018-07-11T14:00:00Z,panel,Adrian Piccoli
Thursday July 12,2018-07-11T14:00:00Z,panel,Georgina Dent
Thursday July 12,2018-07-11T14:00:00Z,panel,Dr Bates Gill
Thursday July 12,2018-07-11T14:00:00Z,panel,Shen Narayanasamy
Wednesday July,NA,panel,Shannan Dodson
Wednesday July,NA,panel,Dr Jackie Huggins
Wednesday July,NA,panel,Cheryl Axleby
Wednesday July,NA,panel,Banok Rind
"Tuesday, July 10",2018-07-09T14:00:00Z,panel,Dr Caroline West
"Tuesday, July 10",2018-07-09T14:00:00Z,panel,Angela Vithoulkas
"Tuesday, July 10",2018-07-09T14:00:00Z,panel,Josephine Cashman
"Tuesday, July 10",2018-07-09T14:00:00Z,panel,Jamila Rizvi
"Monday, July 9",2018-07-08T14:00:00Z,panel,Bri Lee
"Monday, July 9",2018-07-08T14:00:00Z,panel,Jane Caro
"Monday, July 9",2018-07-08T14:00:00Z,panel,Simon Cowan
"Monday, July 9",2018-07-08T14:00:00Z,panel,Bernard Keane
Friday July 6,2018-07-05T14:00:00Z,panel,Jenna Price
Friday July 6,2018-07-05T14:00:00Z,panel,Geoffrey Winters
Friday July 6,2018-07-05T14:00:00Z,panel,Dr Sally Cockburn
Friday July 6,2018-07-05T14:00:00Z,panel,Geeth Geeganage
"Thursday, July 5",2018-07-04T14:00:00Z,panel,Deborah Snow
"Thursday, July 5",2018-07-04T14:00:00Z,panel,Adam Creighton
"Thursday, July 5",2018-07-04T14:00:00Z,panel,Tasneem Chopra
"Thursday, July 5",2018-07-04T14:00:00Z,panel,Mara Bun
Wednesday July 4,2018-07-03T14:00:00Z,panel,Caroline Overington
Wednesday July 4,2018-07-03T14:00:00Z,panel,Avril Henry
Wednesday July 4,2018-07-03T14:00:00Z,panel,Jacqui Lambie
Tuesday July 3,2018-07-02T14:00:00Z,panel,Dee Madigan
Tuesday July 3,2018-07-02T14:00:00Z,panel,Stephen O’Doherty
Tuesday July 3,2018-07-02T14:00:00Z,panel,Megan Motto
Tuesday July 3,2018-07-02T14:00:00Z,panel,Karen Middleton
Monday July 2,2018-07-01T14:00:00Z,panel,Parnell McGuinness
Monday July 2,2018-07-01T14:00:00Z,panel,Professor James Arvanitakis
Monday July 2,2018-07-01T14:00:00Z,panel,Katharine Murphy
Monday July 2,2018-07-01T14:00:00Z,panel,Amanda Young
Friday June 29,2018-06-28T14:00:00Z,panel,Dr Darren Saunders
Friday June 29,2018-06-28T14:00:00Z,panel,James Morrow
Friday June 29,2018-06-28T14:00:00Z,panel,Shalailah Medhora
Friday June 29,2018-06-28T14:00:00Z,panel,Tory Maguire
Thursday June 28,2018-06-27T14:00:00Z,panel,Peter Abetz
Thursday June 28,2018-06-27T14:00:00Z,panel,Narelle Hooper
Thursday June 28,2018-06-27T14:00:00Z,panel,David Crowe
Thursday June 28,2018-06-27T14:00:00Z,panel,Jess Hill
Wednesday June 27,2018-06-26T14:00:00Z,panel,Shane Wright
Wednesday June 27,2018-06-26T14:00:00Z,panel,Anne Henderson
Wednesday June 27,2018-06-26T14:00:00Z,panel,Rebecca Davies
Wednesday June 27,2018-06-26T14:00:00Z,panel,Erik Jensen
Monday June 25,2018-06-24T14:00:00Z,panel,Bridie Jabour
Monday June 25,2018-06-24T14:00:00Z,panel,Peter Hartcher
Monday June 25,2018-06-24T14:00:00Z,panel,Dr Tim Soutphommasane
Tuesday June 26,2018-06-25T14:00:00Z,panel,Josephine Cashman
Tuesday June 26,2018-06-25T14:00:00Z,panel,Katrina Hodgkinson
Tuesday June 26,2018-06-25T14:00:00Z,panel,Adam Creighton
Tuesday June 26,2018-06-25T14:00:00Z,panel,Peter Lewis
Friday June 22,2018-06-21T14:00:00Z,panel,Kerry Chikarovski
Friday June 22,2018-06-21T14:00:00Z,panel,Cassandra Goldie
Friday June 22,2018-06-21T14:00:00Z,panel,Muriel Bamblett
Friday June 22,2018-06-21T14:00:00Z,panel,Kylar Loussikian
Thursday June 21,2018-06-20T14:00:00Z,panel,Ming Long
Thursday June 21,2018-06-20T14:00:00Z,panel,Rick Morton
Thursday June 21,2018-06-20T14:00:00Z,panel,Talal Yassine
Friday June 15,2018-06-14T14:00:00Z,panel,Amanda Rose
Friday June 15,2018-06-14T14:00:00Z,panel,Warren Mundine
Friday June 15,2018-06-14T14:00:00Z,panel,Jacqui Maley
Friday June 15,2018-06-14T14:00:00Z,panel,Jonathan Green
Thursday June 14,2018-06-13T14:00:00Z,panel,Joe Williams
Thursday June 14,2018-06-13T14:00:00Z,panel,Josephine Sukkar
Thursday June 14,2018-06-13T14:00:00Z,panel,Bernard Keane
Wednesday June 20,2018-06-19T14:00:00Z,panel,Katharine Murphy
Wednesday June 20,2018-06-19T14:00:00Z,panel,Jenna Price
Wednesday June 20,2018-06-19T14:00:00Z,panel,Simon Cowan
Tuesday June 19,2018-06-18T14:00:00Z,panel,Adam Carrel
Tuesday June 19,2018-06-18T14:00:00Z,panel,Jennifer Hewett
Tuesday June 19,2018-06-18T14:00:00Z,panel,Nyadol Nyuen
Tuesday June 19,2018-06-18T14:00:00Z,panel,Peter van Onselen
Monday June 18,2018-06-17T14:00:00Z,panel,Kate Mills
Monday June 18,2018-06-17T14:00:00Z,panel,Peter Martin
Monday June 18,2018-06-17T14:00:00Z,panel,Jackie Kelly
Wednesday June 13,2018-06-12T14:00:00Z,panel,Michael Bachelard
Wednesday June 13,2018-06-12T14:00:00Z,panel,Marina Go
Wednesday June 13,2018-06-12T14:00:00Z,panel,James Pearson
Wednesday June 13,2018-06-12T14:00:00Z,panel,Carolyn Quadrio
Tuesday June 12,2018-06-11T14:00:00Z,panel,Michael Kirby
Tuesday June 12,2018-06-11T14:00:00Z,panel,Barbara Heineback
Tuesday June 12,2018-06-11T14:00:00Z,panel,Greg Sheridan
Tuesday June 12,2018-06-11T14:00:00Z,panel,Elaine Pearson
Monday June 11,2018-06-10T14:00:00Z,panel,NA
Friday June 8,2018-06-07T14:00:00Z,panel,Danny Teece-Johnson
Friday June 8,2018-06-07T14:00:00Z,panel,Georgina Dent
Friday June 8,2018-06-07T14:00:00Z,panel,Gray Connolly
Friday June 8,2018-06-07T14:00:00Z,panel,Sharri Markson
Thursday June 7,2018-06-06T14:00:00Z,panel,Dr Hannah McGlade
Thursday June 7,2018-06-06T14:00:00Z,panel,Van Badham
Thursday June 7,2018-06-06T14:00:00Z,panel,Gary Marks
Thursday June 7,2018-06-06T14:00:00Z,panel,Malcolm Farr
Wednesday June 6,2018-06-05T14:00:00Z,panel,Jane Stanton
Wednesday June 6,2018-06-05T14:00:00Z,panel,Josh Bornstein
Wednesday June 6,2018-06-05T14:00:00Z,panel,Nicki Hutley
Tuesday June 5,2018-06-04T14:00:00Z,panel,Paul Bongiorno
Tuesday June 5,2018-06-04T14:00:00Z,panel,Craig Chung
Tuesday June 5,2018-06-04T14:00:00Z,panel,Maxine McKew
Monday June 4,2018-06-03T14:00:00Z,panel,Annika Smethurst
Monday June 4,2018-06-03T14:00:00Z,panel,Brad Chilcott
Monday June 4,2018-06-03T14:00:00Z,panel,Angela Vithoulkas
Monday June 4,2018-06-03T14:00:00Z,panel,Chris Brown
Friday June 1,2018-05-31T14:00:00Z,panel,Allan Clarke
Friday June 1,2018-05-31T14:00:00Z,panel,Geoffrey Winters
Friday June 1,2018-05-31T14:00:00Z,panel,Sophie Black
Friday June 1,2018-05-31T14:00:00Z,panel,Michael Pascoe
Thursday May 31,2018-05-30T14:00:00Z,panel,Josephine Cashman
Thursday May 31,2018-05-30T14:00:00Z,panel,Katherine O’Regan
Thursday May 31,2018-05-30T14:00:00Z,panel,Peter Lewis
Wednesday May 30,2018-05-29T14:00:00Z,panel,Alice Workman
Wednesday May 30,2018-05-29T14:00:00Z,panel,Noel Debien
Wednesday May 30,2018-05-29T14:00:00Z,panel,Ngiare Brown
Wednesday May 30,2018-05-29T14:00:00Z,panel,Robyn Parker
Tuesday May 29,2018-05-28T14:00:00Z,panel,Caroline Overington
Tuesday May 29,2018-05-28T14:00:00Z,panel,Nassim Khadem
Tuesday May 29,2018-05-28T14:00:00Z,panel,Stephen O’Doherty
Tuesday May 29,2018-05-28T14:00:00Z,panel,Jack Boyd
Monday May 28,2018-05-27T14:00:00Z,panel,Kerryn Phelps
Monday May 28,2018-05-27T14:00:00Z,panel,Ming Long
Monday May 28,2018-05-27T14:00:00Z,panel,Peter Hartcher
Monday May 28,2018-05-27T14:00:00Z,panel,Tanya Hosch
Friday May 25,2018-05-24T14:00:00Z,panel,Jane Caro
Friday May 25,2018-05-24T14:00:00Z,panel,Karen Middleton
Friday May 25,2018-05-24T14:00:00Z,panel,Kate Eastman
Friday May 25,2018-05-24T14:00:00Z,panel,Michael Jensen Interview with:
Thursday May 24,2018-05-23T14:00:00Z,panel,Christopher Brown
Thursday May 24,2018-05-23T14:00:00Z,panel,Dai Le
Thursday May 24,2018-05-23T14:00:00Z,panel,Emma Dawson
